iter	Passed	Remaining
715	11323	4491
716	11338	4475
717	11353	4459
718	11367	4442
719	11381	4426
720	11396	4410
721	11410	4393
722	11425	4377
723	11440	4361
724	11455	4345
725	11470	4329
726	11484	4312
727	11500	4296
728	11512	4279
729	11526	4263
730	11542	4247
731	11556	4231
732	11570	4214
733	11585	4198
734	11601	4182
735	11616	4166
736	11632	4151
737	11647	4134
738	11661	4118
739	11676	4102
740	11690	4086
741	11705	4069
742	11730	4057
743	11751	4043
744	11767	4027
745	11783	4012
746	11799	3996
747	11815	3980
748	11832	3965
749	11848	3949
750	11864	3933
751	11880	3917
752	11894	3901
753	11909	3885
754	11926	3870
755	11940	3853
756	11956	3837
757	11970	3821
758	11986	3805
759	12000	3789
760	12030	3778
761	12062	3767
762	12084	3753
763	12110	3740
764	12128	3725
765	12142	3709
766	12157	3693
767	12173	3677
768	12190	3661
769	12204	3645
770	12219	3629
771	12234	3613
772	12250	3597
773	12270	3582
774	12284	3566
775	12300	3550
776	12313	3533
777	12347	3523
778	12364	3507
779	12385	3493
780	12422	3483
781	12450	3470
782	12464	3454
783	12479	3438
784	12494	3422
785	12506	3404
786	12520	3388
787	12539	3373
788	12557	3358
789	12571	3341
790	12587	3325
791	12601	3309
792	12616	3293
793	12631	3277
794	12647	3261
795	12664	3245
796	12680	3229
797	12694	3213
798	12708	3197
799	12725	3181
800	12743	3165
801	12764	3151
802	12782	3135
803	12800	3120
804	12819	3105
805	12834	3089
806	12849	3073
807	12867	3057
808	12884	3042
809	12900	3026
810	12915	3009
811	12930	2993
812	12946	2977
813	12961	2961
814	12976	2945
815	12991	2929
816	13006	2913
817	13020	2896
818	13034	2880
819	13049	2864
820	13063	2848
821	13079	2832
822	13095	2816
823	13110	2800
824	13125	2784
825	13144	2768
826	13161	2753
827	13177	2737
828	13192	2721
829	13206	2704
830	13222	2689
831	13236	2672
832	13248	2656
833	13267	2640
834	13282	2624
835	13298	2608
836	13313	2592
837	13327	2576
838	13342	2560
839	13358	2544
840	13373	2528
841	13387	2512
842	13402	2496
843	13418	2480
844	13432	2463
845	13446	2447
846	13460	2431
847	13475	2415
